dataset,instance_index,depot,budget_miles,algorithm,collected_prize_excluding_depot,java_raw_prize_including_depot,route_distance_miles,runtime_ms,route,raw_attention_route_distance_miles,repair_applied,feasible_under_java_miles
Capital_Cities.txt,17,"Dover,DE",4000,Attention,852,,3922.720280,3.321886,"Dover,DE -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Annapolis,MD -> Dover,DE",3922.720280,false,true
Capital_Cities.txt,18,"Frankfort,KY",4000,Attention,855,,3893.861378,3.066063,"Frankfort,KY -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Frankfort,KY",3893.861378,false,true
Capital_Cities.txt,19,"Harrisburg,PA",4000,Attention,756,,3916.931622,3.222704,"Harrisburg,PA -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Springfield,IL -> JeffersonCity,MO -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Dover,DE -> Harrisburg,PA",4006.163805,true,true
Capital_Cities.txt,0,"Albany,NY",6000,Attention,1125,,5948.934918,3.993988,"Albany,NY -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> LittleRock,AR -> Springfield,IL -> JeffersonCity,MO -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Lansing,MI -> Providence,RI -> Concord,NH -> Boston,MA -> Albany,NY",5948.934918,false,true
Capital_Cities.txt,1,"Annapolis,MD",6000,Attention,1034,,5917.662234,3.787994,"Annapolis,MD -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> LittleRock,AR -> Springfield,IL -> JeffersonCity,MO -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Indianapolis,IN -> Columbia,SC -> Columbus,OH -> Raleigh,NC -> Richmond,VA -> Dover,DE -> Annapolis,MD",5917.662234,false,true
Capital_Cities.txt,2,"Atlanta,GA",6000,Attention,942,,5351.676183,3.634214,"Atlanta,GA -> Madison,WI -> DesMoines,IA -> Topeka,KS -> Lincoln,NE -> Denver,CO -> Cheyenne,WY -> SantaFe,NM -> Austin,TX -> OklahomaCity,OK -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Indianapolis,IN -> Columbia,SC -> Atlanta,GA",6049.207393,true,true
Capital_Cities.txt,3,"Augusta,ME",6000,Attention,1068,,5937.443099,3.686905,"Augusta,ME -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> LittleRock,AR -> Springfield,IL -> JeffersonCity,MO -> OklahomaCity,OK -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Concord,NH -> Boston,MA -> Augusta,ME",5937.443099,false,true
Capital_Cities.txt,4,"Austin,TX",6000,Attention,736,,5951.437181,2.905846,"Austin,TX -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Denver,CO -> SaltLakeCity,UT -> Phoenix,AZ -> Cheyenne,WY -> OklahomaCity,OK -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Austin,TX",6059.109159,true,true
Capital_Cities.txt,5,"BatonRouge,LA",6000,Attention,696,,5570.664489,2.960920,"BatonRouge,LA -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Denver,CO -> Phoenix,AZ -> Cheyenne,WY -> SantaFe,NM -> Austin,TX -> OklahomaCity,OK -> Jackson,MS -> Tallahassee,FL -> BatonRouge,LA",6048.723755,true,true
Capital_Cities.txt,6,"Bismarck,ND",6000,Attention,980,,5977.912254,3.546000,"Bismarck,ND -> SaintPaul,MN -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> Denver,CO -> Cheyenne,WY -> SantaFe,NM -> Austin,TX -> OklahomaCity,OK -> BatonRouge,LA -> Jackson,MS -> Nashville,TN -> Tallahassee,FL -> Atlanta,GA -> JeffersonCity,MO -> Bismarck,ND",5977.912254,false,true
Capital_Cities.txt,7,"Boise,ID",6000,Attention,742,,5959.474552,2.902031,"Boise,ID -> CarsonCity,NV -> Pierre,SD -> Denver,CO -> SaltLakeCity,UT -> Cheyenne,WY -> SantaFe,NM -> OklahomaCity,OK -> Austin,TX -> BatonRouge,LA -> Jackson,MS -> LittleRock,AR -> Topeka,KS -> Boise,ID",5959.474552,false,true
Capital_Cities.txt,8,"Boston,MA",6000,Attention,1274,,5962.509730,3.899813,"Boston,MA -> Madison,WI -> DesMoines,IA -> Lincoln,NE -> Topeka,KS -> LittleRock,AR -> Springfield,IL -> JeffersonCity,MO -> BatonRouge,LA -> Jackson,MS -> Tallahassee,FL -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Indianapolis,IN -> Columbus,OH -> Annapolis,MD -> Albany,NY -> Augusta,ME -> Concord,NH -> Boston,MA",5962.509730,false,true
Capital_Cities.txt,9,"CarsonCity,NV",6000,Attention,640,,5857.796880,2.626657,"CarsonCity,NV -> Boise,ID -> Pierre,SD -> Denver,CO -> SaltLakeCity,UT -> Phoenix,AZ -> Cheyenne,WY -> SantaFe,NM -> OklahomaCity,OK -> Austin,TX -> Sacramento,CA -> CarsonCity,NV",5857.796880,false,true
