dataset,instance_index,depot,budget_miles,algorithm,collected_prize_excluding_depot,java_raw_prize_including_depot,route_distance_miles,runtime_ms,route
"Capital_Cities.txt",8,"Boston,MA",4000,"Greedy 1",528,584,3979.230137,0.040000,"Boston,MA -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Columbus,OH -> Concord,NH -> Boston,MA"
"Capital_Cities.txt",8,"Boston,MA",4000,"Greedy 2",997,1053,3912.709306,0.147250,"Boston,MA -> Providence,RI -> Albany,NY -> Concord,NH -> Augusta,ME -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Lansing,MI -> Harrisburg,PA -> Hartford,CT -> Boston,MA"
"Capital_Cities.txt",8,"Boston,MA",4000,"P-MARL",1063,1119,3976.792497,2638.212083,"Boston,MA -> Columbia,SC -> Atlanta,GA -> Nashville,TN -> Indianapolis,IN -> Springfield,IL -> JeffersonCity,MO -> DesMoines,IA -> Madison,WI -> Lansing,MI -> Columbus,OH -> Charleston,WV -> Harrisburg,PA -> Richmond,VA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Hartford,CT -> Albany,NY -> Concord,NH -> Boston,MA"
"Capital_Cities.txt",9,"CarsonCity,NV",4000,"Greedy 1",321,359,3952.977179,0.037709,"CarsonCity,NV -> Cheyenne,WY -> Nashville,TN -> Helena,MT -> Boise,ID -> CarsonCity,NV"
"Capital_Cities.txt",9,"CarsonCity,NV",4000,"Greedy 2",658,696,3957.366597,0.073583,"CarsonCity,NV -> Salem,OR -> Olympia,WA -> Helena,MT -> SaltLakeCity,UT -> Cheyenne,WY -> Denver,CO -> SantaFe,NM -> OklahomaCity,OK -> CarsonCity,NV"
"Capital_Cities.txt",9,"CarsonCity,NV",4000,"P-MARL",670,708,3901.005621,1445.122833,"CarsonCity,NV -> Cheyenne,WY -> Denver,CO -> SantaFe,NM -> Phoenix,AZ -> SaltLakeCity,UT -> Boise,ID -> Helena,MT -> Salem,OR -> Olympia,WA -> CarsonCity,NV"
"Capital_Cities.txt",10,"Charleston,WV",4000,"Greedy 1",554,570,3874.295998,0.037083,"Charleston,WV -> Albany,NY -> Annapolis,MD -> Cheyenne,WY -> Nashville,TN -> Indianapolis,IN -> Columbus,OH -> Charleston,WV"
"Capital_Cities.txt",10,"Charleston,WV",4000,"Greedy 2",1103,1119,3911.033269,0.117417,"Charleston,WV -> Columbus,OH -> Indianapolis,IN -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Lansing,MI -> Springfield,IL -> JeffersonCity,MO -> Frankfort,KY -> Charleston,WV"
"Capital_Cities.txt",10,"Charleston,WV",4000,"P-MARL",1113,1129,3817.160506,2523.243667,"Charleston,WV -> Nashville,TN -> Atlanta,GA -> Columbia,SC -> Raleigh,NC -> Richmond,VA -> Annapolis,MD -> Dover,DE -> Trenton,NJ -> Albany,NY -> Concord,NH -> Augusta,ME -> Providence,RI -> Boston,MA -> Hartford,CT -> Harrisburg,PA -> Lansing,MI -> Frankfort,KY -> Indianapolis,IN -> Springfield,IL -> Columbus,OH -> Charleston,WV"
"Capital_Cities.txt",11,"Cheyenne,WY",4000,"Greedy 1",469,661,3964.135740,0.039416,"Cheyenne,WY -> Albany,NY -> Annapolis,MD -> Nashville,TN -> Indianapolis,IN -> OklahomaCity,OK -> Cheyenne,WY"
